smiles,hepg2_pIC50,hct116_pIC50,n_tasks_observed
C=C(C)[C@@H]1CC[C@]2(C(=O)OC)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)C[C@@H](Cc6cn([C@]7(CO)O[C@@H](n8ccc(N)nc8=O)[C@@H](F)[C@@H]7O)nn6)[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,4.25,,1
C=C(C)[C@@H]1CC[C@]2(C(=O)OC)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)C[C@@H](Cc6cn([C@]7(CO)O[C@@H](n8ccc(N)nc8=O)[C@H](O)[C@@H]7O)nn6)[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,4.07,,1
C=C(C)[C@@H]1CC[C@]2(C(=O)OC)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)C[C@@H](Cc6cn([C@]7(CO)O[C@@H](n8ccc(O)nc8=O)[C@@H](F)[C@@H]7O)nn6)C(=O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,4.63,,1
C=C(C)[C@@H]1CC[C@]2(C(=O)OC)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)C[C@@H](Cc6cn([C@]7(CO)O[C@@H](n8ccc(O)nc8=O)[C@@H](F)[C@@H]7O)nn6)[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,4.43,,1
C=C(C)[C@@H]1CC[C@]2(C(=O)OC)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)C[C@@H](Cc6cn([C@]7(CO)O[C@@H](n8ccc(O)nc8=O)[C@H](O)[C@@H]7O)nn6)C(=O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,4.2,,1
C=C(C)[C@@H]1CC[C@]2(C(=O)OC)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)C[C@@H](Cc6cn([C@]7(CO)O[C@@H](n8ccc(O)nc8=O)[C@H](O)[C@@H]7O)nn6)[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,4.35,,1
C=C(C)[C@@H]1CC[C@]2(C(=O)OC/C=C/CO)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]12,4.42,,1
C=C(C)[C@@H]1CC[C@]2(C(=O)OC/C=C/CO)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(C)=O)[C@@](C)(COC(C)=O)[C@@H]5CC[C@]43C)[C@@H]12,5.13,,1
C=C(C)[C@@H]1CC[C@]2(C(=O)OCCN3CCOCC3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]12,4.23,,1
C=C(C)[C@@H]1CC[C@]2(C(=O)OCCN3CCOCC3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(C)=O)[C@@](C)(COC(C)=O)[C@@H]5CC[C@]43C)[C@@H]12,4.91,,1
