row_id,smiles,status,n_atoms,coord_mean_abs,hepg2_pIC50,hct116_pIC50
65,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)[C@@](C)(COC(=O)N6CCC(N7CCCCC7)CC6)[C@@H]5CC[C@]43C)[C@@H]12,uff_not_converged,114,2.8762998580932617,4.73,
66,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)C[C@@H](Cc6cn([C@H]7C[C@H](n8cc(C)c(O)nc8=O)O[C@@H]7CO)nn6)[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,uff_not_converged,118,2.5630698204040527,4.42,
67,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)C[C@@H](Cc6cn([C@]7(CO)O[C@@H](n8ccc(N)nc8=O)[C@H](O)[C@@H]7O)nn6)[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,uff_not_converged,118,2.5982444286346436,4.14,
68,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](C[C@@H](O)[C@@H]4[C@@]5(C)CCC(=O)[C@@H](C)[C@@H]5CC[C@]43C)[C@@H]12,uff_not_converged,77,2.067539691925049,4.24,
69,C=C(C)[C@@H]1CC[C@]2(C(=O)OC)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)C[C@@H](Cc6cn([C@H]7C[C@H](n8cc(C)c(O)nc8=O)O[C@@H]7CO)nn6)C(=O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,uff_not_converged,119,3.0117311477661133,5.02,
70,C=C(C)[C@@H]1CC[C@]2(C(=O)OC)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)C[C@@H](Cc6cn([C@H]7C[C@H](n8ccc(O)nc8=O)O[C@@H]7CO)nn6)[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,uff_not_converged,118,2.5783004760742188,4.71,
71,C=C(C)[C@@H]1CC[C@]2(C(=O)OC)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)C[C@@H](Cc6cn([C@]7(CO)O[C@@H](n8ccc(N)nc8=O)[C@@H](F)[C@@H]7O)nn6)C(=O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,uff_not_converged,118,2.741391658782959,4.16,
72,C=C(C)[C@@H]1CC[C@]2(C(=O)OC)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)C[C@@H](Cc6cn([C@]7(CO)O[C@@H](n8ccc(N)nc8=O)[C@@H](F)[C@@H]7O)nn6)[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,uff_not_converged,120,2.7051796913146973,4.25,
73,C=C(C)[C@@H]1CC[C@]2(C(=O)OC)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)C[C@@H](Cc6cn([C@]7(CO)O[C@@H](n8ccc(N)nc8=O)[C@H](O)[C@@H]7O)nn6)[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,uff_not_converged,121,2.6857101917266846,4.07,
74,C=C(C)[C@@H]1CC[C@]2(C(=O)OC)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)C[C@@H](Cc6cn([C@]7(CO)O[C@@H](n8ccc(O)nc8=O)[C@@H](F)[C@@H]7O)nn6)C(=O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,uff_not_converged,117,2.5895330905914307,4.63,
