cell_line,activity_id,assay_chembl_id,molecule_chembl_id,canonical_smiles,target_pref_name,target_organism,assay_type,standard_type,standard_relation,standard_value,standard_units,pchembl_value_final,pchembl_source,pchembl_value_raw,data_validity_comment,standard_value_molar,standard_value_nM,pchembl_backcalc_molar,pchembl_backcalc_nM,p_from_standard,p_delta_abs
HCT116,62263,CHEMBL690493,CHEMBL53903,COc1ccc(NCc2cnc3nc(N)nc(N)c3c2C)c2ccccc12,HCT-116,Homo sapiens,F,GI50,=,11.7,nM,7.931814,fallback_from_standard_value_units,,,1.17e-08,11.7,1.17e-08,11.700004,7.931814,0.0
HCT116,63374,CHEMBL685779,CHEMBL275380,O=C(NCC1CCC(C(=O)NO)CC1)c1ccc(-c2ccccc2)cc1,HCT-116,Homo sapiens,F,IC50,=,4700.0,nM,5.33,pchembl_value,5.33,,4.7e-06,4700.0,4.677351e-06,4677.351413,5.327902,0.002098
HCT116,63809,CHEMBL690494,CHEMBL263533,COc1cc2cc3n(c(=O)c2cc1OC)Cc1cc2ccccc2nc1-3,HCT-116,Homo sapiens,F,GI50,=,57300.0,nM,4.241845,fallback_from_standard_value_units,,,5.73e-05,57300.0,5.730005e-05,57300.049877,4.241845,0.0
HCT116,67215,CHEMBL685779,CHEMBL28280,O=C(NO)c1ccc(CNC(=O)c2cccc3ccccc23)cc1,HCT-116,Homo sapiens,F,IC50,=,9700.0,nM,5.01,pchembl_value,5.01,,9.7e-06,9700.0,9.772372e-06,9772.37221,5.013228,0.003228
HCT116,68449,CHEMBL687057,CHEMBL283093,O=C1NC(=O)c2c1c1c3ccccc3ncc1c1[nH]c3cc(Cl)ccc3c21,HCT-116,Homo sapiens,F,IC50,=,650.0,nM,6.19,pchembl_value,6.19,,6.5e-07,650.0,6.45654e-07,645.654229,6.187087,0.002913
HCT116,68484,CHEMBL685779,CHEMBL283931,Nc1ccc2cc(C(=O)NCc3ccc(C(=O)NO)cc3)ccc2c1,HCT-116,Homo sapiens,F,IC50,=,3900.0,nM,5.41,pchembl_value,5.41,,3.9e-06,3900.0,3.890451e-06,3890.45145,5.408935,0.001065
HCT116,68486,CHEMBL685779,CHEMBL433820,O=C(NO)c1ccc(CNS(=O)(=O)c2ccc3ccccc3c2)cc1,HCT-116,Homo sapiens,F,IC50,=,22500.0,nM,4.65,pchembl_value,4.65,,2.25e-05,22500.0,2.2387211e-05,22387.211386,4.647817,0.002183
HCT116,68732,CHEMBL690493,CHEMBL281803,COc1ccc(OC)c(N(C)Cc2cnc3nc(N)nc(N)c3c2C)c1,HCT-116,Homo sapiens,F,GI50,=,3970.0,nM,5.401209,fallback_from_standard_value_units,,,3.97e-06,3970.0,3.970005e-06,3970.004509,5.401209,0.0
HCT116,68956,CHEMBL690494,CHEMBL110203,O=c1c2ccccc2cc2n1Cc1cc3ccccc3nc1-2,HCT-116,Homo sapiens,F,GI50,=,32700.0,nM,4.485452,fallback_from_standard_value_units,,,3.27e-05,32700.0,3.2700019e-05,32700.018623,4.485452,0.0
HCT116,72241,CHEMBL686467,CHEMBL411233,CC(=O)O[C@H]1C(=O)[C@@]2(C)C([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](OC(=O)Oc4ccccc4)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)COC1C[C@@H]2O,HCT-116,Homo sapiens,F,IC50,=,7.0,nM,8.15,pchembl_value,8.15,,7e-09,7.0,7.079e-09,7.079458,8.154902,0.004902
HCT116,72613,CHEMBL689626,CHEMBL95827,COc1ccc2[nH]c3c(c2c1)CC(=O)Nc1ccccc1-3,HCT-116,Homo sapiens,F,GI50,=,25118.86,nM,4.6,fallback_from_standard_value_units,,,2.511886e-05,25118.86,2.5118864e-05,25118.864315,4.6,0.0
HCT116,72616,CHEMBL689627,CHEMBL420455,CC(C)(C)OC(=O)C1C(=O)N(C(=O)OC(C)(C)C)c2ccccc2-c2c1c1cc(Br)ccc1n2C(=O)OC(C)(C)C,HCT-116,Homo sapiens,F,GI50,=,7943.28,nM,5.1,fallback_from_standard_value_units,,,7.94328e-06,7943.28,7.943282e-06,7943.282347,5.1,0.0
HCT116,72617,CHEMBL689627,CHEMBL420455,CC(C)(C)OC(=O)C1C(=O)N(C(=O)OC(C)(C)C)c2ccccc2-c2c1c1cc(Br)ccc1n2C(=O)OC(C)(C)C,HCT-116,Homo sapiens,F,GI50,=,39810.72,nM,4.4,fallback_from_standard_value_units,,,3.981072e-05,39810.72,3.9810717e-05,39810.717055,4.4,0.0
HCT116,72621,CHEMBL689626,CHEMBL100312,CC(C)(C)OC(=O)n1c2c(c3cc(Br)ccc31)CC(=O)Nc1ccccc1-2,HCT-116,Homo sapiens,F,GI50,=,2511.89,nM,5.599999,fallback_from_standard_value_units,,,2.51189e-06,2511.89,2.511892e-06,2511.892215,5.599999,0.0
