cell_line,activity_id,assay_chembl_id,molecule_chembl_id,canonical_smiles,target_pref_name,target_organism,assay_type,standard_type,standard_relation,standard_value,standard_units,pchembl_value_final,pchembl_source,pchembl_value_raw,data_validity_comment
HepG2,159655,CHEMBL688225,CHEMBL2364554,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)C21.[NaH],HepG2,Homo sapiens,F,IC50,=,50.0,nM,7.3,pchembl_value,7.30,
HepG2,160944,CHEMBL692117,CHEMBL332353,O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c2c(nn1-c1ccc(F)cc1)C(Cc1ccccc1Cl)CCC2.[Na+],HepG2,Homo sapiens,F,IC50,=,330.0,nM,6.48,pchembl_value,6.48,
HepG2,163447,CHEMBL694939,CHEMBL90140,CC1=C(SCCCCO)C(=O)c2ccccc2C1=O,HepG2,Homo sapiens,F,IC50,>,10000.0,nM,5.0,fallback_from_standard_value_units,,
HepG2,164593,CHEMBL692118,CHEMBL332812,O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c2c(nn1-c1ccc(F)cc1)C(Cc1ccc3ccccc3c1)CCC2.[Na+],HepG2,Homo sapiens,F,IC50,=,330.0,nM,6.48,pchembl_value,6.48,
HepG2,168401,CHEMBL686033,CHEMBL421080,COc1ccc(CC2CCCc3c2nn(-c2ccc(F)cc2)c3/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])cc1.[Na+],HepG2,Homo sapiens,F,IC50,=,500.0,nM,6.3,pchembl_value,6.30,
HepG2,169596,CHEMBL688223,CHEMBL122607,O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c2c(nn1-c1ccc(F)cc1)C(Cc1ccc(F)cc1)CCC2.[Na+],HepG2,Homo sapiens,F,IC50,=,400.0,nM,6.4,pchembl_value,6.40,
HepG2,170741,CHEMBL692125,CHEMBL121965,O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c2c(nn1-c1ccc(F)cc1)C(CCc1ccccc1)CCC2.[Na+],HepG2,Homo sapiens,F,IC50,=,1700.0,nM,5.77,pchembl_value,5.77,
HepG2,170743,CHEMBL686029,CHEMBL2218894,CC(C)n1c(/C=C/C(O)CC(O)CC(=O)[O-])c(-c2ccc(F)cc2)c2ccccc21.[Na+],HepG2,Homo sapiens,F,IC50,=,79.0,nM,7.1,pchembl_value,7.10,
HepG2,171717,CHEMBL694940,CHEMBL109831,Nc1nc(=O)n([C@H]2C=C[C@@H](CO)O2)cc1F,HepG2,Homo sapiens,F,IC50,>,100000.0,nM,4.0,fallback_from_standard_value_units,,
HepG2,171720,CHEMBL694940,CHEMBL40724,Nc1nc(=O)n([C@@H]2CC[C@H](CO)O2)cc1F,HepG2,Homo sapiens,F,IC50,>,100000.0,nM,4.0,fallback_from_standard_value_units,,
HepG2,172010,CHEMBL692126,CHEMBL332548,COc1ccc(CC2CCCc3c2nn(-c2ccc(F)cc2)c3/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])cc1OC.[Na+],HepG2,Homo sapiens,F,IC50,=,3600.0,nM,5.44,pchembl_value,5.44,
HepG2,173176,CHEMBL686030,CHEMBL503,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,HepG2,Homo sapiens,F,IC50,=,79.0,nM,7.1,pchembl_value,7.10,
HepG2,175193,CHEMBL694940,CHEMBL853,Nc1ccn([C@H]2CC[C@@H](CO)O2)c(=O)n1,HepG2,Homo sapiens,F,IC50,>,100000.0,nM,4.0,fallback_from_standard_value_units,,
HepG2,175460,CHEMBL692119,CHEMBL331900,O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c2c(nn1-c1ccc(F)cc1)C(Cc1cccc3ccccc13)CCC2.[Na+],HepG2,Homo sapiens,F,IC50,=,460.0,nM,6.34,pchembl_value,6.34,
HepG2,176455,CHEMBL694940,CHEMBL327324,Nc1ccn([C@@H]2C=C[C@H](CO)S2)c(=O)n1,HepG2,Homo sapiens,F,IC50,=,800.0,nM,6.1,pchembl_value,6.10,
