cell_line,activity_id,assay_chembl_id,molecule_chembl_id,canonical_smiles,target_pref_name,target_organism,assay_type,standard_type,standard_relation,standard_value,standard_units,pchembl_value_final,pchembl_source,pchembl_value_raw,data_validity_comment,standard_value_molar,standard_value_nM,pchembl_backcalc_molar,pchembl_backcalc_nM,p_from_standard,p_delta_abs
HepG2,176748,CHEMBL686032,CHEMBL122605,CC(C)c1ccc(CC2CCCc3c2nn(-c2ccc(F)cc2)c3/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])cc1.[Na+],HepG2,Homo sapiens,F,IC50,=,230.0,nM,6.64,pchembl_value,6.64,,2.3e-07,230.0,2.29087e-07,229.086765,6.638272,0.001728
HepG2,178046,CHEMBL692121,CHEMBL122815,COc1cccc(CC2CCCc3c2nn(-c2ccc(F)cc2)c3/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c1.[Na+],HepG2,Homo sapiens,F,IC50,=,1200.0,nM,5.92,pchembl_value,5.92,,1.2e-06,1200.0,1.202264e-06,1202.264435,5.920819,0.000819
HepG2,178048,CHEMBL692123,CHEMBL124769,O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c2c(nn1-c1ccc(F)cc1)C(C/C=C/c1ccccc1)CCC2.[Na+],HepG2,Homo sapiens,F,IC50,=,1000.0,nM,6.0,pchembl_value,6.00,,1e-06,1000.0,1e-06,1000.0,6.0,0.0
HepG2,180424,CHEMBL694939,CHEMBL329399,CC1=C(SCCCO)C(=O)c2ccccc2C1=O,HepG2,Homo sapiens,F,IC50,=,9530.0,nM,5.02,pchembl_value,5.02,,9.53e-06,9530.0,9.549926e-06,9549.92586,5.020907,0.000907
HepG2,180545,CHEMBL686031,CHEMBL331770,O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c2c(nn1-c1ccc(F)cc1)C(Cc1ccccc1)CCC2.[Na+],HepG2,Homo sapiens,F,IC50,=,170.0,nM,6.77,pchembl_value,6.77,,1.7e-07,170.0,1.69824e-07,169.824365,6.769551,0.000449
HepG2,183205,CHEMBL692124,CHEMBL339423,O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c2c(nn1-c1ccc(F)cc1)C(c1ccccc1)CCC2.[Na+],HepG2,Homo sapiens,F,IC50,=,8100.0,nM,5.09,pchembl_value,5.09,,8.1e-06,8100.0,8.128305e-06,8128.305162,5.091515,0.001515
HepG2,183207,CHEMBL692120,CHEMBL121014,O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c2c(nn1-c1ccc(F)cc1)C(CCCc1ccccc1)CCC2.[Na+],HepG2,Homo sapiens,F,IC50,=,870.0,nM,6.06,pchembl_value,6.06,,8.7e-07,870.0,8.70964e-07,870.96359,6.060481,0.000481
HepG2,228000,CHEMBL694354,CHEMBL17239,CCCCCCCCCCCCC(=O)N1CCC(C(C)CO)CC1,HepG2,Homo sapiens,F,IC50,=,12.0,nM,7.92,pchembl_value,7.92,,1.2e-08,12.0,1.2023e-08,12.022644,7.920819,0.000819
HepG2,239550,CHEMBL694354,CHEMBL418176,CC(C)CCCC(C)CCCC(C)N1CCCCC1,HepG2,Homo sapiens,F,IC50,=,30000.0,nM,4.52,pchembl_value,4.52,,3e-05,30000.0,3.0199517e-05,30199.517204,4.522879,0.002879
HepG2,257264,CHEMBL694354,CHEMBL17168,CCCCCCCCCCCC(=O)N1CC[C@H]2[C@H](C)[C@@H](O)CC[C@]2(C)C1,HepG2,Homo sapiens,F,IC50,=,0.7,nM,9.15,pchembl_value,9.15,,7e-10,0.7,7.08e-10,0.707946,9.154902,0.004902
HepG2,259988,CHEMBL694354,CHEMBL17737,CCCCCCCCCCCCN1CCC(C(C)CO)CC1,HepG2,Homo sapiens,F,IC50,=,40.0,nM,7.4,pchembl_value,7.40,,4e-08,40.0,3.9811e-08,39.810717,7.39794,0.00206
HepG2,272140,CHEMBL694356,CHEMBL355426,O=C1NC(O)C(F)=CN1[C@H]1C=C[C@@H](CO)O1,HepG2,Homo sapiens,F,IC50,=,59300.0,nM,4.23,pchembl_value,4.23,,5.93e-05,59300.0,5.8884366e-05,58884.365536,4.226945,0.003055
HepG2,281767,CHEMBL694356,CHEMBL2368322,O=c1[nH]c(=O)n([C@@H]2C=C[C@@H](CO)O2)cc1F,HepG2,Homo sapiens,F,IC50,=,37100.0,nM,4.43,pchembl_value,4.43,,3.71e-05,37100.0,3.7153523e-05,37153.52291,4.430626,0.000626
HepG2,286451,CHEMBL694356,CHEMBL123292,C[C@@H]1C[C@@H]([C@H](O)CC2CC(=O)NC(=O)C2)C(=O)[C@@H](C)C1,HepG2,Homo sapiens,F,IC50,=,2500.0,nM,5.6,pchembl_value,5.60,,2.5e-06,2500.0,2.511886e-06,2511.886432,5.60206,0.00206
HepG2,288913,CHEMBL694356,CHEMBL185,O=c1[nH]cc(F)c(=O)[nH]1,HepG2,Homo sapiens,F,IC50,=,37900.0,nM,4.42,pchembl_value,4.42,,3.79e-05,37900.0,3.801894e-05,38018.939632,4.421361,0.001361
HepG2,294970,CHEMBL698432,CHEMBL333003,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CCC(O)C[C@H](O)CC(=O)[O-])[C@]21C.[Na+],HepG2,Homo sapiens,F,IC50,=,452.0,nM,6.34,pchembl_value,6.34,,4.52e-07,452.0,4.57088e-07,457.08819,6.344862,0.004862
HepG2,297489,CHEMBL694355,CHEMBL121756,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@]21C,HepG2,Homo sapiens,F,IC50,=,7.0,nM,8.15,pchembl_value,8.15,,7e-09,7.0,7.079e-09,7.079458,8.154902,0.004902
