canonical_smiles,pIC50
CCOC(=O)C1=CC2C(=O)c3cccnc3C(=O)C2C(c2ccc(C)cc2)=N1,5.72
CCOC(=O)C1=CC2C(=O)c3ncccc3C(=O)C2C(c2ccc(Cl)cc2)=N1,6.4
CCOC(=O)C1=CC2C(=O)c3ncccc3C(=O)C2C(c2ccc(C)cc2)=N1,6.05
O=c1cc2oc3ccccc3nc-2c2cccnc12,7.3
CCOC(=O)C1=CC2C(=O)c3ncccc3C(=O)C2C(c2ccc(OC)cc2)=N1,6.0
CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,5.29
CCOC(=O)C1=CC2C(=O)c3cccnc3C(=O)C2C(c2ccc(Cl)cc2)=N1,5.7
CCOC(=O)C1=CC2C(=O)c3cccnc3C(=O)C2C(c2ccc(OC)cc2)=N1,5.7
CCOC(=O)C1=CC2C(=O)c3cccnc3C(=O)C2C(c2ccc([N+](=O)[O-])cc2)=N1,6.3
CCOC(=O)C1(N)CSC2=C1C(=O)c1cccnc1C2=O,6.3
CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,7.4
CCOC(=O)C1=CC2C(=O)c3ncccc3C(=O)C2C(c2ccccc2)=N1,5.7
CCN(C/C=C/C#CC(C)(C)C)Cc1cccc(OC[Si](C)(C)c2ccccc2C)c1,6.92
CC[C@H](C)C(=O)O[C@H]1C[C@H]2[C@@H](CC[C@@H]3C[C@H](O)CC[C@@]32C)[C@@H]2CCC(CC[C@H]3C[C@@H](O)CC(=O)O3)[C@@]12C,5.09
CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,7.54
CC[C@H](C)C(=O)O[C@H]1C[C@H]2[C@@H](CC[C@@H]3C[C@H](O)CC[C@@]32C)[C@@H]2CCC(CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@]12C,5.75
CC[C@H](C)C(=O)O[C@H]1C[C@H]2[C@@H](CC[C@@H]3C[C@H](O)CC[C@@]32C)[C@@H]2CCC([C@H](C)C[C@@H]3C[C@@H](O)CC(=O)O3)[C@@]12C,4.79
CC[C@H](C)C(=O)O[C@H]1C[C@H]2[C@@H](CC[C@@H]3C[C@H](O)CC[C@@]32C)[C@@H]2CCC([C@H](C)C[C@H]3C[C@@H](O)CC(=O)O3)[C@@]12C,4.26
CCN(C/C=C/C#CC(C)(C)C)Cc1cccc(NC[Si](C)(C)c2ccccc2C)c1,6.7
C=C(CCC12OC(C(=O)O)C(O)(C(=O)O)C(C(=O)O)(O1)[C@H](OC(=O)CCCCCCCCCCc1ccccc1)[C@H]2O)[C@@H](OC(C)=O)[C@H](C)Cc1ccccc1,8.1
C=C(CCC12OC(C(=O)O)C(O)(C(=O)O)C(C(=O)O)(O1)[C@H](OC(=O)OCCCCCCCCCC)[C@H]2O)[C@@H](OC(C)=O)[C@H](C)Cc1ccccc1,8.62
C=C(CCC12OC(C(=O)O)C(O)(C(=O)O)C(C(=O)O)(O1)[C@H](OC(=O)OCCCCCCCCCCCOc1ccccc1)[C@H]2O)[C@@H](OC(C)=O)[C@H](C)Cc1ccccc1,8.62
C=C(CCC12OC(C(=O)O)C(O)(C(=O)O)C(C(=O)O)(O1)[C@H](OC(=O)OCCCCCCCCCCCC)[C@H]2O)[C@@H](OC(C)=O)[C@H](C)Cc1ccccc1,8.72
C=C(CCC12OC(C(=O)O)C(O)(C(=O)O)C(C(=O)O)(O1)[C@H](OCCCCCCCCCCCCCC)[C@H]2O)[C@@H](OC(C)=O)[C@H](C)Cc1ccccc1,8.82
C=C(CCC12OC(C(=O)O)C(O)(C(=O)O)C(C(=O)O)(O1)[C@H](OC(=O)NCCCCCCCCCC)[C@H]2O)[C@@H](OC(C)=O)[C@H](C)Cc1ccccc1,8.44
C=C(CCC12OC(C(=O)O)C(O)(C(=O)O)C(C(=O)O)(O1)[C@H](OC(=O)NCCCCCCCCCCCOc1ccccc1)[C@H]2O)[C@@H](OC(C)=O)[C@H](C)Cc1ccccc1,8.89
C=C(CCC12OC(C(=O)O)C(O)(C(=O)O)C(C(=O)O)(O1)[C@H](OCCCCCCCCCCCC)[C@H]2O)[C@@H](OC(C)=O)[C@H](C)Cc1ccccc1,8.8
CCN(C/C=C/C#CC(C)(C)C)Cc1cccc(OC[Si](C)(C)c2ccc(C#N)cc2)c1,7.16
C=C(CCC12OC(C(=O)O)C(O)(C(=O)O)C(C(=O)O)(O1)[C@H](OC(=O)CCCCCCC)[C@H]2O)[C@@H](OC(C)=O)[C@H](C)Cc1ccccc1,8.02
CCN(C/C=C/C#CC(C)(C)C)Cc1cccc(OCc2cc(-c3ccsc3)cs2)c1,7.7
C=C(CCC12OC(C(=O)O)C(O)(C(=O)O)C(C(=O)O)(O1)[C@H](OC(=O)CC[C@@H](C)C[C@@H](C)CC)[C@H]2O)[C@@H](OC(C)=O)[C@H](C)Cc1ccccc1,8.12
C=C(CCC12OC(C(=O)O)C(O)(C(=O)O)C(C(=O)O)(O1)[C@H](OCCCCCCCCCCCOc1ccccc1)[C@H]2O)[C@@H](OC(C)=O)[C@H](C)Cc1ccccc1,8.89
CCN(C/C=C/C#CC(C)(C)C)Cc1cccc(OC[Si](C)(C)c2ccccc2C)c1,6.82
